image,detection_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mask_quality,area_px,longest_side_px,area_cm2,longest_side_cm
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,8,382.0,929.1,458.7,1023.7,0.9742,2307,60.0,847.4,36.4
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,9,469.4,0.0,543.0,34.2,0.9646,723,40.0,265.6,24.2
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,10,893.7,0.1,944.2,14.1,0.8746,224,27.0,82.3,16.4
rgb_164_png.rf.3f368af0697fee80124728499ceb8dac.jpg,0,435.7,175.5,512.0,276.6,0.9618,2303,61.0,845.9,37.0
rgb_164_png.rf.3f368af0697fee80124728499ceb8dac.jpg,1,520.3,774.4,597.8,883.6,0.971,2525,66.0,927.5,40.0
rgb_164_png.rf.3f368af0697fee80124728499ceb8dac.jpg,2,404.3,732.2,481.0,838.6,0.9678,2383,66.0,875.3,40.0
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,0,495.1,786.5,585.2,909.9,0.9697,3450,76.0,1267.2,46.1
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,1,404.6,56.8,474.8,166.2,0.9729,2333,67.0,856.9,40.6
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,2,542.9,122.9,615.6,230.0,0.9725,2357,65.0,865.7,39.4
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,3,554.7,494.7,613.9,574.5,0.9528,1459,43.1,535.9,26.1
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,4,442.4,686.4,516.3,789.5,0.9689,2301,64.0,845.2,38.8
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,5,805.5,0.1,859.8,11.4,0.8811,193,26.0,70.9,15.8
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,0,554.3,503.8,632.7,603.7,0.9752,2353,62.0,864.3,37.6
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,1,513.5,316.1,590.4,417.2,0.9703,2211,58.3,812.1,35.3
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,2,578.6,296.7,638.3,377.9,0.953,1441,50.0,529.3,30.3
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,3,433.4,406.9,502.9,496.4,0.9672,1815,54.0,666.7,32.7
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,0,448.8,0.0,534.9,58.8,0.9757,1592,52.0,584.8,31.5
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,1,554.8,327.5,618.1,415.4,0.9665,1601,52.0,588.1,31.5
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,2,561.9,163.9,643.0,276.7,0.9757,2869,71.0,1053.8,43.0
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,3,404.9,310.1,475.6,401.0,0.9684,1957,57.0,718.8,34.5
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,4,494.8,723.6,565.7,822.4,0.9618,2068,60.0,759.6,36.4
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,5,547.3,0.1,638.6,116.1,0.9792,3561,73.0,1308.0,44.2
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,6,491.7,276.8,558.8,366.1,0.9665,1696,53.0,623.0,32.1
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,7,396.7,398.9,461.5,480.9,0.9632,1552,50.0,570.1,30.3
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,8,860.4,683.6,909.4,736.7,0.9313,789,32.5,289.8,19.7
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,9,17.2,720.4,103.3,872.5,0.8533,3849,86.0,1413.8,52.1
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,0,504.9,456.3,580.9,557.0,0.9689,2282,61.0,838.2,37.0
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,1,493.6,550.2,564.1,642.5,0.9672,1872,55.0,687.6,33.3
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,2,405.9,23.8,462.8,112.9,0.9629,1593,55.0,585.1,33.3
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,3,408.8,251.6,489.9,362.0,0.9709,2792,69.0,1025.5,41.8
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,4,414.0,910.3,491.2,1019.8,0.971,2585,66.0,949.5,40.0
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,5,490.4,775.3,557.8,865.4,0.9631,1871,55.0,687.2,33.3
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,0,546.9,592.1,614.2,682.5,0.9694,1815,55.3,666.7,33.5
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,1,399.2,106.9,470.5,212.0,0.966,2373,64.0,871.6,38.8
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,2,398.5,213.1,473.3,323.3,0.9699,2578,69.7,946.9,42.2
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,3,367.3,981.8,446.6,1023.9,0.9598,882,46.0,324.0,27.9
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,4,501.1,0.0,581.2,30.9,0.966,706,45.0,259.3,27.3
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,0,434.0,578.2,510.7,681.9,0.9663,2493,64.0,915.7,38.8
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,1,540.8,0.1,633.6,70.3,0.9726,1995,56.0,732.8,33.9
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,2,393.1,474.6,478.2,590.9,0.9768,3110,73.0,1142.3,44.2
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,3,462.2,86.3,538.7,199.6,0.9751,2667,70.0,979.6,42.4
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,4,492.6,963.6,563.8,1024.0,0.9721,1329,42.0,488.2,25.5
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,5,379.9,625.5,448.1,723.7,0.964,2033,60.0,746.7,36.4
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,6,406.9,30.3,454.8,109.1,0.9471,1164,49.0,427.5,29.7
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,7,529.2,632.9,600.7,725.4,0.9569,2070,52.3,760.3,31.7
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,8,810.4,49.8,853.3,79.2,0.9065,335,25.0,123.0,15.2
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,0,573.1,162.1,634.2,244.4,0.9581,1519,51.0,557.9,30.9
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,1,507.6,0.0,587.0,87.7,0.9727,2330,56.0,855.8,33.9
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,2,414.3,211.1,469.4,290.0,0.9641,1373,47.0,504.3,28.5
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,3,987.6,60.6,1023.8,95.3,0.9057,348,22.7,127.8,13.7
rgb_241_png.rf.eac1242a3c8e6831559e1a2bf0612592.jpg,0,557.4,0.0,640.8,57.7,0.9688,1570,49.0,576.7,29.7
rgb_241_png.rf.eac1242a3c8e6831559e1a2bf0612592.jpg,1,425.8,385.1,502.1,484.8,0.968,2315,61.0,850.3,37.0
rgb_241_png.rf.eac1242a3c8e6831559e1a2bf0612592.jpg,2,397.8,263.6,448.8,339.7,0.9452,1217,47.3,447.0,28.7
rgb_254_png.rf.423dfea2c856fcd50f83114bad05c403.jpg,0,426.6,60.5,492.9,159.1,0.9722,1992,60.0,731.7,36.4
rgb_254_png.rf.423dfea2c856fcd50f83114bad05c403.jpg,1,218.1,338.4,250.9,383.8,0.8571,392,22.6,144.0,13.7
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,0,407.4,89.2,483.8,199.0,0.974,2608,69.0,957.9,41.8
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,1,418.2,291.0,481.8,373.7,0.9713,1666,51.0,611.9,30.9
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,2,398.5,203.9,465.9,299.3,0.9701,2029,60.0,745.3,36.4
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,3,372.8,688.2,459.5,807.9,0.9744,3239,73.3,1189.7,44.4
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,4,388.7,871.1,469.0,983.2,0.9744,2741,70.0,1006.8,42.4
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,5,465.7,706.8,540.9,809.0,0.9704,2379,62.9,873.8,38.1
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,6,543.7,673.1,610.2,768.6,0.9693,1970,58.0,723.6,35.2
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,7,377.2,802.5,436.4,881.7,0.9627,1496,48.0,549.5,29.1
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,8,520.9,769.5,591.3,866.4,0.9688,2033,61.0,746.7,37.0
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,9,446.3,804.2,527.3,914.9,0.9725,2747,69.0,1009.0,41.8
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,10,413.0,386.6,476.1,472.3,0.9682,1693,54.0,621.9,32.7
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,11,528.1,123.6,600.5,224.1,0.9745,2266,62.0,832.3,37.6
rgb_319_png.rf.e06d9c6ac0e094fa9d5362219b2c8de3.jpg,0,475.9,444.4,620.6,629.9,0.9843,8057,114.0,2959.4,69.1
rgb_319_png.rf.e06d9c6ac0e094fa9d5362219b2c8de3.jpg,1,384.2,357.1,493.3,498.6,0.9816,4730,87.0,1737.4,52.7
rgb_359_png.rf.a900e0d3b75b5a0004740f1ad59a87b0.jpg,0,816.3,0.0,878.8,54.4,0.934,1073,38.0,394.1,23.0
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,0,388.6,388.0,470.5,502.5,0.9754,2963,70.0,1088.3,42.4
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,1,514.5,551.0,595.5,659.6,0.9756,2638,68.0,969.0,41.2
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,2,399.6,530.1,469.2,624.5,0.9731,2011,57.0,738.7,34.5
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,3,432.7,607.9,509.0,708.8,0.9599,2265,62.0,832.0,37.6
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,4,549.6,644.7,628.5,747.5,0.9691,2407,61.0,884.1,37.0
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,5,522.1,909.1,610.8,1023.6,0.9746,3349,70.0,1230.1,42.4
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,6,375.0,910.4,447.3,1016.2,0.9691,2362,68.4,867.6,41.4
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,7,567.0,73.6,638.8,179.0,0.9688,2380,65.0,874.2,39.4
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,8,885.7,0.3,938.0,16.5,0.9192,298,27.0,109.5,16.4
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,0,387.1,243.8,534.0,428.8,0.9853,8442,116.0,3100.8,70.3
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,1,383.6,427.1,529.9,629.6,0.9842,9009,126.0,3309.1,76.4
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,2,395.7,0.0,523.0,82.8,0.9821,3243,77.0,1191.2,46.7
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,3,394.5,73.6,516.1,247.7,0.982,6776,105.0,2488.9,63.6
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,4,533.1,296.8,641.0,439.4,0.9829,4869,86.6,1788.4,52.5
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,5,528.8,438.1,642.9,594.7,0.9828,5508,97.0,2023.1,58.8
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,6,521.3,125.3,648.7,299.2,0.9818,6634,108.0,2436.7,65.5
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,7,530.8,0.0,654.2,129.9,0.9842,5404,83.0,1984.9,50.3
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,8,819.4,316.8,920.2,438.8,0.9764,3590,69.6,1318.6,42.2
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,9,784.8,0.0,870.0,101.4,0.9468,2462,59.0,904.3,35.8
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,0,821.3,168.5,874.7,236.8,0.922,1097,43.0,402.9,26.1
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,1,110.6,35.1,176.3,118.4,0.9551,1567,50.9,575.6,30.9
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,2,973.3,3.4,1023.5,69.4,0.9086,936,41.7,343.8,25.2
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,3,777.0,169.0,820.5,230.0,0.8949,767,35.6,281.7,21.5
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,4,195.2,783.3,226.7,826.3,0.9009,382,23.7,140.3,14.4
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,5,787.8,87.4,811.8,144.6,0.8941,408,37.3,149.9,22.6
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,0,803.7,10.5,869.9,88.9,0.9588,1548,46.4,568.6,28.1
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,1,498.7,541.8,584.6,660.0,0.973,3054,73.0,1121.8,44.2
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,2,819.0,87.8,876.2,160.6,0.9414,1296,47.3,476.0,28.6
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,3,539.2,726.4,627.1,845.5,0.9748,3273,73.0,1202.2,44.2
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,4,479.8,815.5,558.8,927.7,0.9737,2674,69.0,982.2,41.8
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,5,375.9,970.4,463.2,1024.0,0.9741,1251,52.0,459.5,31.5
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,6,860.1,50.9,908.0,114.2,0.9164,789,33.6,289.8,20.3
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,7,368.9,49.6,393.1,116.1,0.8033,362,38.2,133.0,23.1
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,8,906.8,0.0,964.1,9.1,0.8524,138,26.0,50.7,15.8
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,9,369.9,48.7,407.0,117.8,0.6259,643,41.5,236.2,25.2
rgb_82_png.rf.86c1a1127887d0cbfde3152e75d2c110.jpg,0,531.3,571.9,608.8,676.2,0.968,2444,63.0,897.7,38.2
rgb_82_png.rf.86c1a1127887d0cbfde3152e75d2c110.jpg,1,434.5,358.0,506.9,456.5,0.9632,2138,54.6,785.3,33.1
rgb_9677_png.rf.3be16ea91ded9512b14f772fd074936f.jpg,0,247.5,0.3,330.1,28.2,0.9521,611,43.0,224.4,26.1
rgb_9677_png.rf.3be16ea91ded9512b14f772fd074936f.jpg,1,982.8,421.5,1024.0,533.1,0.9695,1322,68.0,485.6,41.2
