image,detection_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,width_px,height_px,area_bbox_px,area_ellipse_px,width_cm,height_cm,area_ellipse_cm2
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,3,346.7,309.2,383.7,359.1,37.0,49.9,1845.7,1449.6,22.4,30.3,532.5
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,4,276.5,429.0,322.7,493.4,46.2,64.4,2973.2,2335.1,28.0,39.0,857.7
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,5,503.5,0.1,537.3,7.1,33.9,7.0,238.9,187.7,20.5,4.3,68.9
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,0,346.4,314.9,395.4,377.3,49.0,62.4,3057.4,2401.3,29.7,37.8,882.0
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,1,320.9,197.6,369.0,260.8,48.1,63.2,3038.9,2386.7,29.1,38.3,876.7
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,2,361.6,185.5,399.0,236.2,37.3,50.8,1893.8,1487.4,22.6,30.8,546.3
rgb_189_png.rf.dbb0496297d51ee0112230e8e33fe9ac.jpg,3,270.9,254.3,314.3,310.2,43.4,55.9,2429.5,1908.1,26.3,33.9,700.9
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,0,280.5,0.0,334.3,36.7,53.8,36.7,1978.0,1553.6,32.6,22.3,570.6
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,1,346.7,204.7,386.3,259.6,39.6,54.9,2173.8,1707.3,24.0,33.3,627.1
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,2,351.2,102.4,401.8,172.9,50.6,70.5,3572.2,2805.6,30.7,42.7,1030.5
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,3,253.1,193.8,297.2,250.6,44.1,56.8,2507.5,1969.4,26.8,34.4,723.4
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,4,309.3,452.2,353.6,514.0,44.3,61.8,2739.0,2151.2,26.9,37.4,790.1
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,5,342.1,0.0,399.1,72.5,57.0,72.5,4134.5,3247.2,34.6,43.9,1192.7
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,6,307.3,173.0,349.2,228.8,41.9,55.8,2336.7,1835.2,25.4,33.8,674.1
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,7,247.9,249.3,288.4,300.6,40.5,51.3,2075.9,1630.4,24.5,31.1,598.9
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,8,537.7,427.2,568.4,460.4,30.6,33.2,1016.6,798.5,18.6,20.1,293.3
rgb_215_png.rf.b8d1d5f404159cd76c85774fd454b50d.jpg,9,10.7,450.2,64.6,545.3,53.8,95.1,5117.5,4019.3,32.6,57.6,1476.3
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,0,315.6,285.2,363.1,348.1,47.5,62.9,2989.1,2347.6,28.8,38.1,862.3
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,1,308.5,343.9,352.6,401.5,44.1,57.7,2542.6,1997.0,26.7,35.0,733.5
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,2,253.7,14.9,289.3,70.6,35.6,55.7,1979.2,1554.5,21.5,33.7,571.0
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,3,255.5,157.2,306.2,226.3,50.7,69.0,3497.3,2746.8,30.7,41.8,1008.9
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,4,258.7,568.9,307.0,637.3,48.3,68.4,3301.9,2593.3,29.2,41.5,952.5
rgb_216_png.rf.96d49b2685563fccf97ef60355fd3a99.jpg,5,306.5,484.5,348.6,540.9,42.1,56.3,2373.3,1864.0,25.5,34.2,684.7
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,0,341.8,370.1,383.9,426.6,42.1,56.5,2379.6,1868.9,25.5,34.2,686.5
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,1,249.5,66.8,294.1,132.5,44.6,65.7,2928.9,2300.3,27.0,39.8,844.9
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,2,249.1,133.2,295.8,202.1,46.7,68.8,3217.4,2526.9,28.3,41.7,928.2
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,3,229.6,613.6,279.2,640.0,49.6,26.3,1304.8,1024.8,30.0,16.0,376.4
rgb_224_png.rf.c344f74356b9b7d7f7c78e74ebc3d4ea.jpg,4,313.2,0.0,363.3,19.3,50.1,19.3,968.0,760.2,30.3,11.7,279.2
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,0,271.2,361.3,319.2,426.2,48.0,64.8,3110.7,2443.1,29.1,39.3,897.4
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,1,338.0,0.1,396.0,43.9,58.0,43.9,2542.8,1997.1,35.1,26.6,733.6
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,2,245.7,296.6,298.9,369.3,53.2,72.7,3865.8,3036.2,32.2,44.0,1115.2
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,3,288.9,53.9,336.7,124.7,47.8,70.8,3386.8,2660.0,29.0,42.9,977.0
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,4,307.9,602.2,352.4,640.0,44.5,37.8,1680.4,1319.8,27.0,22.9,484.8
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,5,237.4,391.0,280.0,452.3,42.6,61.3,2615.2,2054.0,25.8,37.2,754.4
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,6,254.3,18.9,284.3,68.2,30.0,49.2,1475.1,1158.5,18.2,29.8,425.5
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,7,330.8,395.6,375.5,453.4,44.7,57.8,2581.7,2027.6,27.1,35.0,744.8
rgb_225_png.rf.f80eae6f929bae15ceefa7dd1902379b.jpg,8,506.5,31.1,533.3,49.5,26.8,18.4,492.8,387.0,16.2,11.1,142.2
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,0,358.2,101.3,396.4,152.7,38.2,51.4,1962.8,1541.6,23.1,31.2,566.2
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,1,317.2,0.0,366.9,54.8,49.6,54.8,2721.2,2137.2,30.1,33.2,785.0
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,2,258.9,132.0,293.3,181.3,34.4,49.3,1697.6,1333.3,20.9,29.9,489.7
rgb_234_png.rf.53aec87327ab2cc006be8e99de0c4476.jpg,3,617.2,37.9,639.9,59.6,22.7,21.7,492.7,387.0,13.7,13.2,142.1
rgb_241_png.rf.eac1242a3c8e6831559e1a2bf0612592.jpg,0,348.3,0.0,400.5,36.1,52.2,36.1,1883.2,1479.1,31.6,21.9,543.3
rgb_241_png.rf.eac1242a3c8e6831559e1a2bf0612592.jpg,1,266.1,240.7,313.8,303.0,47.7,62.3,2972.6,2334.7,28.9,37.8,857.6
rgb_241_png.rf.eac1242a3c8e6831559e1a2bf0612592.jpg,2,248.6,164.8,280.5,212.3,31.9,47.5,1515.3,1190.1,19.3,28.8,437.1
rgb_254_png.rf.423dfea2c856fcd50f83114bad05c403.jpg,0,266.6,37.8,308.1,99.4,41.5,61.7,2557.4,2008.6,25.1,37.4,737.8
rgb_254_png.rf.423dfea2c856fcd50f83114bad05c403.jpg,1,136.3,211.5,156.8,239.8,20.5,28.4,580.6,456.0,12.4,17.2,167.5
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,0,254.6,55.7,302.4,124.3,47.8,68.6,3276.5,2573.3,28.9,41.6,945.2
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,1,261.4,181.9,301.1,233.6,39.7,51.7,2055.7,1614.5,24.1,31.4,593.0
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,2,249.0,127.5,291.2,187.0,42.1,59.6,2511.2,1972.3,25.5,36.1,724.4
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,3,233.0,430.2,287.2,504.9,54.2,74.8,4052.9,3183.2,32.8,45.3,1169.2
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,4,242.9,544.5,293.1,614.5,50.2,70.0,3516.5,2761.9,30.4,42.5,1014.5
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,5,291.1,441.7,338.1,505.6,47.0,63.9,3000.6,2356.7,28.5,38.7,865.6
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,6,339.8,420.7,381.4,480.3,41.6,59.6,2478.8,1946.9,25.2,36.1,715.1
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,7,235.7,501.6,272.7,551.1,37.0,49.5,1831.7,1438.6,22.4,30.0,528.4
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,8,325.5,480.9,369.6,541.5,44.0,60.5,2663.6,2092.0,26.7,36.7,768.4
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,9,279.0,502.6,329.6,571.8,50.6,69.2,3502.0,2750.4,30.7,41.9,1010.3
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,10,258.1,241.6,297.5,295.2,39.4,53.6,2111.7,1658.5,23.9,32.5,609.2
rgb_301_png.rf.b9b94c81bea1e0d1c1d483c5855ef92d.jpg,11,330.1,77.2,375.3,140.1,45.3,62.8,2845.7,2235.0,27.4,38.1,821.0
rgb_319_png.rf.e06d9c6ac0e094fa9d5362219b2c8de3.jpg,0,297.5,277.8,387.8,393.7,90.4,115.9,10474.8,8226.9,54.8,70.2,3021.8
rgb_319_png.rf.e06d9c6ac0e094fa9d5362219b2c8de3.jpg,1,240.1,223.2,308.3,311.6,68.2,88.5,6033.2,4738.5,41.3,53.6,1740.5
rgb_359_png.rf.a900e0d3b75b5a0004740f1ad59a87b0.jpg,0,510.2,0.0,549.3,34.0,39.1,34.0,1328.5,1043.4,23.7,20.6,383.3
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,0,242.9,242.5,294.0,314.1,51.2,71.6,3662.6,2876.6,31.0,43.4,1056.6
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,1,321.6,344.4,372.2,412.3,50.6,67.9,3437.3,2699.7,30.7,41.1,991.6
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,2,249.7,331.3,293.2,390.3,43.5,59.0,2565.8,2015.2,26.4,35.8,740.2
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,3,270.4,379.9,318.1,443.0,47.7,63.0,3004.7,2359.9,28.9,38.2,866.8
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,4,343.5,403.0,392.8,467.2,49.3,64.2,3166.4,2486.9,29.9,38.9,913.4
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,5,326.3,568.2,381.8,639.8,55.4,71.6,3968.9,3117.2,33.6,43.4,1145.0
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,6,234.4,569.0,279.6,635.1,45.2,66.2,2993.1,2350.8,27.4,40.1,863.5
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,7,354.4,46.0,399.2,111.9,44.9,65.9,2954.7,2320.6,27.2,39.9,852.4
rgb_368_png.rf.6b895e23d6bdd1b24ae9fae2171963bf.jpg,8,553.5,0.2,586.2,10.3,32.7,10.1,331.3,260.2,19.8,6.1,95.6
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,0,241.9,152.4,333.8,268.0,91.9,115.6,10618.7,8339.9,55.7,70.1,3063.3
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,1,239.8,267.0,331.2,393.5,91.4,126.5,11567.1,9084.8,55.4,76.7,3336.9
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,2,247.3,0.0,326.9,51.7,79.6,51.7,4117.7,3234.0,48.2,31.4,1187.9
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,3,246.6,46.0,322.6,154.8,76.0,108.8,8272.2,6497.0,46.1,65.9,2386.4
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,4,333.2,185.5,400.6,274.6,67.4,89.2,6013.4,4723.0,40.9,54.0,1734.8
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,5,330.5,273.8,401.8,371.7,71.3,97.9,6976.0,5478.9,43.2,59.3,2012.5
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,6,325.8,78.3,405.4,187.0,79.6,108.7,8653.9,6796.8,48.3,65.9,2496.5
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,7,331.7,0.0,408.9,81.2,77.1,81.2,6264.2,4919.9,46.8,49.2,1807.1
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,8,512.1,198.0,575.1,274.3,63.0,76.3,4803.1,3772.3,38.2,46.2,1385.6
rgb_5442_png.rf.3db71f089b4bd3483e6549cf5ff8f27a.jpg,9,490.5,0.0,543.7,63.4,53.2,63.4,3371.7,2648.1,32.2,38.4,972.7
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,0,513.3,105.3,546.7,148.0,33.4,42.7,1425.7,1119.7,20.3,25.9,411.3
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,1,69.1,21.9,110.2,74.0,41.1,52.1,2137.0,1678.4,24.9,31.5,616.5
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,2,608.3,2.1,639.7,43.4,31.4,41.3,1294.2,1016.4,19.0,25.0,373.3
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,3,485.7,105.6,512.8,143.8,27.2,38.2,1036.6,814.1,16.5,23.1,299.0
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,4,122.0,489.6,141.7,516.4,19.7,26.9,528.9,415.4,11.9,16.3,152.6
rgb_65_png.rf.7120382bdf8697e184e686465e46971d.jpg,5,492.4,54.6,507.4,90.4,15.0,35.8,535.9,420.9,9.1,21.7,154.6
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,0,502.3,6.5,543.7,55.6,41.4,49.1,2029.1,1593.7,25.1,29.7,585.4
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,1,311.7,338.6,365.4,412.5,53.7,73.9,3965.2,3114.3,32.5,44.8,1143.9
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,2,511.9,54.8,547.6,100.4,35.7,45.6,1627.8,1278.4,21.7,27.6,469.6
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,3,337.0,454.0,391.9,528.4,54.9,74.4,4088.1,3210.8,33.3,45.1,1179.3
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,4,299.8,509.7,349.3,579.8,49.4,70.1,3464.4,2721.0,29.9,42.5,999.4
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,5,234.9,606.5,289.5,640.0,54.6,33.5,1829.6,1437.0,33.1,20.3,527.8
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,6,537.6,31.8,567.5,71.4,29.9,39.5,1181.5,928.0,18.1,24.0,340.8
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,7,230.6,31.0,245.7,72.5,15.1,41.6,629.1,494.1,9.2,25.2,181.5
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,8,566.7,0.0,602.6,5.7,35.8,5.7,203.1,159.5,21.7,3.4,58.6
rgb_79_png.rf.7dea3f907c99a8adc9727fe94a5d54ce.jpg,9,231.2,30.5,254.4,73.7,23.1,43.2,999.4,784.9,14.0,26.2,288.3
rgb_82_png.rf.86c1a1127887d0cbfde3152e75d2c110.jpg,0,332.1,357.5,380.5,422.7,48.4,65.2,3154.2,2477.3,29.3,39.5,909.9
rgb_82_png.rf.86c1a1127887d0cbfde3152e75d2c110.jpg,1,271.6,223.7,316.8,285.3,45.3,61.5,2785.7,2187.9,27.4,37.3,803.6
rgb_9677_png.rf.3be16ea91ded9512b14f772fd074936f.jpg,0,154.7,0.2,206.3,17.6,51.6,17.5,902.3,708.7,31.3,10.6,260.3
rgb_9677_png.rf.3be16ea91ded9512b14f772fd074936f.jpg,1,614.3,263.5,640.0,333.2,25.7,69.8,1795.4,1410.1,15.6,42.3,518.0
